Time,Station Id,30mins,1hour,2hours
23:54,S07,0,0,0
23:54,S08,0,0,0
23:54,S101,0,0,0
23:54,S104,0,0,0
23:54,S106,0,0,0
23:54,S107,0,0,0
23:54,S108,0,0,0
23:54,S109,0,0,0
23:54,S11,0,0,0
23:54,S110,0,0,0
23:54,S112,0,0,0
23:54,S113,0,0,0
23:54,S114,0,0,0
23:54,S115,0,0,0
23:54,S116,0,0,0
23:54,S117,0,0,0
23:54,S118,0,0,0
23:54,S119,0,0,0
23:54,S120,0,0,0
23:54,S121,0,0,0
23:54,S122,0,0,0
23:54,S123,0,0,0
23:54,S24,0,0,0
23:54,S33,0,0,0
23:54,S35,0,0,0
23:54,S40,0,0,0
23:54,S43,0,0,0
23:54,S44,0,0,0
23:54,S46,0,0,0
23:54,S50,0,0,0
23:54,S55,0,0,0
23:54,S60,0,0,0
23:54,S61,0,0,0
23:54,S63,0,0,0
23:54,S64,0,0,0
23:54,S66,0,0,0
23:54,S69,0,0,0
23:54,S71,0,0,0
23:54,S77,0,0,0
23:54,S78,0,0,0
23:54,S79,0,0,0
23:54,S81,0,0,0
23:54,S84,0,0,0
23:54,S88,0,0,0
23:54,S89,0,0,0
23:54,S90,0,0,0
23:54,S91,0,0,0
23:54,S92,0,0,0.2
23:54,S94,0,0,0
23:59,S07,0,0,0
23:59,S08,0,0,0
23:59,S101,0,0,0
23:59,S104,0,0,0
23:59,S106,0,0,0
23:59,S107,0,0,0
23:59,S108,0,0,0
23:59,S109,0,0,0
23:59,S11,0,0,0
23:59,S110,0,0,0
23:59,S112,0,0,0
23:59,S113,0,0,0
23:59,S114,0,0,0
23:59,S115,0,0,0
23:59,S116,0,0,0
23:59,S117,0,0,0
23:59,S118,0,0,0
23:59,S119,0,0,0
23:59,S120,0,0,0
23:59,S121,0,0,0
23:59,S122,0,0,0
23:59,S123,0,0,0
23:59,S24,0,0,0
23:59,S33,0,0,0
23:59,S35,0,0,0
23:59,S40,0,0,0
23:59,S43,0,0,0
23:59,S44,0,0,0
23:59,S46,0,0,0
23:59,S50,0,0,0
23:59,S55,0,0,0
23:59,S60,0,0,0
23:59,S61,0,0,0
23:59,S63,0,0,0
23:59,S64,0,0,0
23:59,S66,0,0,0
23:59,S69,0,0,0
23:59,S71,0,0,0
23:59,S77,0,0,0
23:59,S78,0,0,0
23:59,S79,0,0,0
23:59,S81,0,0,0
23:59,S84,0,0,0
23:59,S88,0,0,0
23:59,S89,0,0,0
23:59,S90,0,0,0
23:59,S91,0,0,0
23:59,S92,0,0,0
23:59,S94,0,0,0
00:04,S07,0,0,0
00:04,S08,0,0,0
00:04,S101,0,0,0
00:04,S104,0,0,0
00:04,S107,0,0,0
00:04,S108,0,0,0
00:04,S109,0,0,0
00:04,S11,0,0,0
00:04,S110,0,0,0
00:04,S112,0,0,0
00:04,S113,0,0,0
00:04,S114,0,0,0
00:04,S115,0,0,0
00:04,S116,0,0,0
00:04,S117,0,0,0
00:04,S118,0,0,0
00:04,S119,0,0,0
00:04,S120,0,0,0
00:04,S121,0,0,0
00:04,S122,0,0,0
00:04,S123,0,0,0
00:04,S24,0,0,0
00:04,S33,0,0,0
00:04,S35,0,0,0
00:04,S40,0,0,0
00:04,S43,0,0,0
00:04,S44,0,0,0
00:04,S46,0,0,0
00:04,S50,0,0,0
00:04,S55,0,0,0
00:04,S60,0,0,0
00:04,S61,0,0,0
00:04,S63,0,0,0
00:04,S64,0,0,0
00:04,S66,0,0,0
00:04,S69,0,0,0
00:04,S71,0,0,0
00:04,S77,0,0,0
00:04,S78,0,0,0
00:04,S79,0,0,0
00:04,S81,0,0,0
00:04,S84,0,0,0
00:04,S88,0,0,0
00:04,S89,0,0,0
00:04,S90,0,0,0
00:04,S91,0,0,0
00:04,S92,0,0,0
00:04,S94,0,0,0
00:09,S07,0,0,0
00:09,S08,0,0,0
00:09,S101,0,0,0
00:09,S104,0,0,0
00:09,S107,0,0,0
00:09,S108,0,0,0
00:09,S109,0,0,0
00:09,S11,0,0,0
00:09,S110,0,0,0
00:09,S112,0,0,0
00:09,S113,0,0,0
00:09,S114,0,0,0
00:09,S115,0,0,0
00:09,S116,0,0,0
00:09,S117,0,0,0
00:09,S118,0,0,0
00:09,S119,0,0,0
00:09,S120,0,0,0
00:09,S121,0,0,0
00:09,S122,0,0,0
00:09,S123,0,0,0
00:09,S24,0,0,0
00:09,S33,0,0,0
00:09,S35,0,0,0
00:09,S40,0,0,0
00:09,S43,0,0,0
00:09,S44,0,0,0
00:09,S46,0,0,0
00:09,S50,0,0,0
00:09,S55,0,0,0
00:09,S60,0,0,0
00:09,S61,0,0,0
00:09,S63,0,0,0
00:09,S64,0,0,0
00:09,S66,0,0,0
00:09,S69,0,0,0
00:09,S71,0,0,0
00:09,S77,0,0,0
00:09,S78,0,0,0
00:09,S79,0,0,0
00:09,S81,0,0,0
00:09,S84,0,0,0
00:09,S88,0,0,0
00:09,S89,0,0,0
00:09,S90,0,0,0
00:09,S91,0,0,0
00:09,S92,0,0,0
00:09,S94,0,0,0
00:14,S07,0,0,0
00:14,S08,0,0,0
00:14,S101,0,0,0
00:14,S104,0,0,0
00:14,S106,0,0,0
00:14,S107,0,0,0
00:14,S108,0,0,0
00:14,S109,0,0,0
00:14,S11,0,0,0
00:14,S110,0,0,0
00:14,S112,0,0,0
00:14,S113,0,0,0
00:14,S114,0,0,0
00:14,S115,0,0,0
00:14,S116,0,0,0
00:14,S117,0,0,0
00:14,S118,0,0,0
00:14,S119,0,0,0
00:14,S120,0,0,0
00:14,S121,0,0,0
00:14,S122,0,0,0
