Time,Forecast,Latitude,Longitude,Name
11:30 PM,CL,1.37500000,103.83900000,Ang Mo Kio
11:30 PM,CL,1.32100000,103.92400000,Bedok
11:30 PM,CL,1.35077200,103.83900000,Bishan
11:30 PM,CL,1.30400000,103.70100000,Boon Lay
11:30 PM,CL,1.35300000,103.75400000,Bukit Batok
11:30 PM,CL,1.27700000,103.81900000,Bukit Merah
11:30 PM,CL,1.36200000,103.77195000,Bukit Panjang
11:30 PM,CL,1.32500000,103.79100000,Bukit Timah
11:30 PM,CL,1.38000000,103.80500000,Central Water Catchment
11:30 PM,CL,1.35700000,103.98700000,Changi
11:30 PM,CL,1.37700000,103.74500000,Choa Chu Kang
11:30 PM,CL,1.31500000,103.76000000,Clementi
11:30 PM,CL,1.29200000,103.84400000,City
11:30 PM,CL,1.31800000,103.88400000,Geylang
11:30 PM,CL,1.36121800,103.88600000,Hougang
11:30 PM,CL,1.34700000,103.67000000,Jalan Bahar
11:30 PM,CL,1.32600000,103.73700000,Jurong East
11:30 PM,CL,1.26600000,103.69900000,Jurong Island
11:30 PM,CL,1.34039000,103.70500000,Jurong West
11:30 PM,CL,1.31200000,103.86200000,Kallang
11:30 PM,CL,1.42300000,103.71733200,Lim Chu Kang
11:30 PM,CL,1.41900000,103.81200000,Mandai
11:30 PM,CL,1.29700000,103.89100000,Marine Parade
11:30 PM,CL,1.32700000,103.82600000,Novena
11:30 PM,CL,1.37000000,103.94800000,Pasir Ris
11:30 PM,CL,1.35800000,103.91400000,Paya Lebar
11:30 PM,CL,1.31500000,103.67500000,Pioneer
11:30 PM,CL,1.40300000,104.05300000,Pulau Tekong
11:30 PM,CL,1.40400000,103.96000000,Pulau Ubin
11:30 PM,CL,1.40100000,103.90400000,Punggol
11:30 PM,CL,1.29100000,103.78576000,Queenstown
11:30 PM,CL,1.40400000,103.86900000,Seletar
11:30 PM,CL,1.44500000,103.81849500,Sembawang
11:30 PM,CL,1.38400000,103.89144300,Sengkang
11:30 PM,CL,1.24300000,103.83200000,Sentosa
