Time,Latitude,Longitude,Message,Type
0:00,1.377334307,103.858347,(30/10)23:41 Vehicle breakdown on CTE (towards SLE) after AMK Ave 5 Exit.,Vehicle breakdown
0:00,1.335194534,103.8930419,(30/10)23:30 Roadworks on KPE (towards TPE) between Upper Paya Lebar Rd Exit and Bartley Rd East Exit. Avoid lane 3.,Roadwork
0:00,1.331877388,103.9659059,(30/10)23:19 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
0:00,1.329018882,103.7577532,(30/10)23:12 Roadworks on Toh Tuck Avenue (towards Old Toh Tuck Road) after Toh Tuck Link. Avoid left lane.,Roadwork
0:00,1.326281253,103.7571101,(30/10)23:10 Roadworks on Toh Tuck Avenue near Boon Lay Way/Commonwealth Avenue West Junction.,Roadwork
0:00,1.322514969,103.6758392,(30/10)23:09 Roadworks on AYE (towards MCE) after Benoi Rd Exit. Avoid lane 1.,Roadwork
0:00,1.321348666,103.8562371,(30/10)22:13 Roadworks on CTE (towards AYE) at Balestier Rd Exit.,Roadwork
0:00,1.320654918,103.8810195,(30/10)22:09 Roadworks on PIE (towards Changi Airport) after Kallang Way. Avoid lane 1.,Roadwork
0:00,1.423299095,103.7568993,(30/10)17:02 Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Mandai Road. Avoid right lane.,Roadwork
0:00,1.42356247,103.7573517,(30/10)17:02 Roadworks on Woodlands Road (towards City) after BKE. Avoid right lane.,Roadwork
0:02,1.292985419,103.8753684,(30/10)23:58 Roadworks on MCE (towards AYE) before ECP (City) Entrance.,Roadwork
0:02,1.335194534,103.8930419,(30/10)23:30 Roadworks on KPE (towards TPE) between Upper Paya Lebar Rd Exit and Bartley Rd East Exit. Avoid lane 3.,Roadwork
0:02,1.331877388,103.9659059,(30/10)23:19 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
0:02,1.329018882,103.7577532,(30/10)23:12 Roadworks on Toh Tuck Avenue (towards Old Toh Tuck Road) after Toh Tuck Link. Avoid left lane.,Roadwork
0:02,1.326281253,103.7571101,(30/10)23:10 Roadworks on Toh Tuck Avenue near Boon Lay Way/Commonwealth Avenue West Junction.,Roadwork
0:02,1.322514969,103.6758392,(30/10)23:09 Roadworks on AYE (towards MCE) after Benoi Rd Exit. Avoid lane 1.,Roadwork
0:02,1.321348666,103.8562371,(30/10)22:13 Roadworks on CTE (towards AYE) at Balestier Rd Exit.,Roadwork
0:02,1.320654918,103.8810195,(30/10)22:09 Roadworks on PIE (towards Changi Airport) after Kallang Way. Avoid lane 1.,Roadwork
0:02,1.423299095,103.7568993,(30/10)17:02 Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Mandai Road. Avoid right lane.,Roadwork
0:02,1.42356247,103.7573517,(30/10)17:02 Roadworks on Woodlands Road (towards City) after BKE. Avoid right lane.,Roadwork
0:04,1.292985419,103.8753684,(30/10)23:58 Roadworks on MCE (towards AYE) before ECP (City) Entrance.,Roadwork
0:04,1.335194534,103.8930419,(30/10)23:30 Roadworks on KPE (towards TPE) between Upper Paya Lebar Rd Exit and Bartley Rd East Exit. Avoid lane 3.,Roadwork
0:04,1.331877388,103.9659059,(30/10)23:19 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
0:04,1.329018882,103.7577532,(30/10)23:12 Roadworks on Toh Tuck Avenue (towards Old Toh Tuck Road) after Toh Tuck Link. Avoid left lane.,Roadwork
0:04,1.326281253,103.7571101,(30/10)23:10 Roadworks on Toh Tuck Avenue near Boon Lay Way/Commonwealth Avenue West Junction.,Roadwork
0:04,1.322514969,103.6758392,(30/10)23:09 Roadworks on AYE (towards MCE) after Benoi Rd Exit. Avoid lane 1.,Roadwork
0:04,1.321348666,103.8562371,(30/10)22:13 Roadworks on CTE (towards AYE) at Balestier Rd Exit.,Roadwork
0:04,1.320654918,103.8810195,(30/10)22:09 Roadworks on PIE (towards Changi Airport) after Kallang Way. Avoid lane 1.,Roadwork
0:04,1.423299095,103.7568993,(30/10)17:02 Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Mandai Road. Avoid right lane.,Roadwork
0:04,1.42356247,103.7573517,(30/10)17:02 Roadworks on Woodlands Road (towards City) after BKE. Avoid right lane.,Roadwork
0:06,1.292985419,103.8753684,(30/10)23:58 Roadworks on MCE (towards AYE) before ECP (City) Entrance.,Roadwork
0:06,1.335194534,103.8930419,(30/10)23:30 Roadworks on KPE (towards TPE) between Upper Paya Lebar Rd Exit and Bartley Rd East Exit. Avoid lane 3.,Roadwork
0:06,1.331877388,103.9659059,(30/10)23:19 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
0:06,1.329018882,103.7577532,(30/10)23:12 Roadworks on Toh Tuck Avenue (towards Old Toh Tuck Road) after Toh Tuck Link. Avoid left lane.,Roadwork
0:06,1.326281253,103.7571101,(30/10)23:10 Roadworks on Toh Tuck Avenue near Boon Lay Way/Commonwealth Avenue West Junction.,Roadwork
0:06,1.322514969,103.6758392,(30/10)23:09 Roadworks on AYE (towards MCE) after Benoi Rd Exit. Avoid lane 1.,Roadwork
0:06,1.321348666,103.8562371,(30/10)22:13 Roadworks on CTE (towards AYE) at Balestier Rd Exit.,Roadwork
0:06,1.320654918,103.8810195,(30/10)22:09 Roadworks on PIE (towards Changi Airport) after Kallang Way. Avoid lanes 1 and 2.,Roadwork
0:06,1.423299095,103.7568993,(30/10)17:02 Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Mandai Road. Avoid right lane.,Roadwork
0:06,1.42356247,103.7573517,(30/10)17:02 Roadworks on Woodlands Road (towards City) after BKE. Avoid right lane.,Roadwork
0:08,1.292985419,103.8753684,(30/10)23:58 Roadworks on MCE (towards AYE) before ECP (City) Entrance.,Roadwork
0:08,1.335194534,103.8930419,(30/10)23:30 Roadworks on KPE (towards TPE) between Upper Paya Lebar Rd Exit and Bartley Rd East Exit. Avoid lane 3.,Roadwork
0:08,1.331877388,103.9659059,(30/10)23:19 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
0:08,1.329018882,103.7577532,(30/10)23:12 Roadworks on Toh Tuck Avenue (towards Old Toh Tuck Road) after Toh Tuck Link. Avoid left lane.,Roadwork
0:08,1.326281253,103.7571101,(30/10)23:10 Roadworks on Toh Tuck Avenue near Boon Lay Way/Commonwealth Avenue West Junction.,Roadwork
0:08,1.322514969,103.6758392,(30/10)23:09 Roadworks on AYE (towards MCE) after Benoi Rd Exit. Avoid lane 1.,Roadwork
0:08,1.321348666,103.8562371,(30/10)22:13 Roadworks on CTE (towards AYE) at Balestier Rd Exit.,Roadwork
0:08,1.320654918,103.8810195,(30/10)22:09 Roadworks on PIE (towards Changi Airport) after Kallang Way. Avoid lanes 1 and 2.,Roadwork
0:08,1.423299095,103.7568993,(30/10)17:02 Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Mandai Road. Avoid right lane.,Roadwork
0:08,1.42356247,103.7573517,(30/10)17:02 Roadworks on Woodlands Road (towards City) after BKE. Avoid right lane.,Roadwork
0:10,1.298537923,103.8772539,(31/10)0:05 Roadworks on KPE (towards MCE) after ECP Exit. Avoid lane 3.,Roadwork
0:10,1.292985419,103.8753684,(30/10)23:58 Roadworks on MCE (towards AYE) before ECP (City) Entrance.,Roadwork
0:10,1.335194534,103.8930419,(30/10)23:30 Roadworks on KPE (towards TPE) between Upper Paya Lebar Rd Exit and Bartley Rd East Exit. Avoid lane 3.,Roadwork
0:10,1.331877388,103.9659059,(30/10)23:19 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
0:10,1.329018882,103.7577532,(30/10)23:12 Roadworks on Toh Tuck Avenue (towards Old Toh Tuck Road) after Toh Tuck Link. Avoid left lane.,Roadwork
0:10,1.326281253,103.7571101,(30/10)23:10 Roadworks on Toh Tuck Avenue near Boon Lay Way/Commonwealth Avenue West Junction.,Roadwork
0:10,1.322514969,103.6758392,(30/10)23:09 Roadworks on AYE (towards MCE) after Benoi Rd Exit. Avoid lane 1.,Roadwork
0:10,1.321348666,103.8562371,(30/10)22:13 Roadworks on CTE (towards AYE) at Balestier Rd Exit.,Roadwork
0:10,1.320654918,103.8810195,(30/10)22:09 Roadworks on PIE (towards Changi Airport) after Kallang Way. Avoid lanes 1 and 2.,Roadwork
0:10,1.423299095,103.7568993,(30/10)17:02 Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Mandai Road. Avoid right lane.,Roadwork
0:10,1.42356247,103.7573517,(30/10)17:02 Roadworks on Woodlands Road (towards City) after BKE. Avoid right lane.,Roadwork
0:12,1.298537923,103.8772539,(31/10)0:05 Roadworks on KPE (towards MCE) after ECP Exit. Avoid lane 3.,Roadwork
0:12,1.292985419,103.8753684,(30/10)23:58 Roadworks on MCE (towards AYE) before ECP (City) Entrance.,Roadwork
0:12,1.335194534,103.8930419,(30/10)23:30 Roadworks on KPE (towards TPE) between Upper Paya Lebar Rd Exit and Bartley Rd East Exit. Avoid lane 3.,Roadwork
0:12,1.331877388,103.9659059,(30/10)23:19 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
0:12,1.329018882,103.7577532,(30/10)23:12 Roadworks on Toh Tuck Avenue (towards Old Toh Tuck Road) after Toh Tuck Link. Avoid left lane.,Roadwork
0:12,1.326281253,103.7571101,(30/10)23:10 Roadworks on Toh Tuck Avenue near Boon Lay Way/Commonwealth Avenue West Junction.,Roadwork
0:12,1.322514969,103.6758392,(30/10)23:09 Roadworks on AYE (towards MCE) after Benoi Rd Exit. Avoid lane 1.,Roadwork
0:12,1.321348666,103.8562371,(30/10)22:13 Roadworks on CTE (towards AYE) at Balestier Rd Exit.,Roadwork
0:12,1.320654918,103.8810195,(30/10)22:09 Roadworks on PIE (towards Changi Airport) after Kallang Way. Avoid lanes 1 and 2.,Roadwork
0:12,1.423299095,103.7568993,(30/10)17:02 Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Mandai Road. Avoid right lane.,Roadwork
0:12,1.42356247,103.7573517,(30/10)17:02 Roadworks on Woodlands Road (towards City) after BKE. Avoid right lane.,Roadwork
0:14,1.298537923,103.8772539,(31/10)0:05 Roadworks on KPE (towards MCE) after ECP Exit. Avoid lane 3.,Roadwork
0:14,1.292985419,103.8753684,(30/10)23:58 Roadworks on MCE (towards AYE) before ECP (City) Entrance.,Roadwork
0:14,1.335194534,103.8930419,(30/10)23:30 Roadworks on KPE (towards TPE) between Upper Paya Lebar Rd Exit and Bartley Rd East Exit. Avoid lane 3.,Roadwork
0:14,1.331877388,103.9659059,(30/10)23:19 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
0:14,1.329018882,103.7577532,(30/10)23:12 Roadworks on Toh Tuck Avenue (towards Old Toh Tuck Road) after Toh Tuck Link. Avoid left lane.,Roadwork
0:14,1.326281253,103.7571101,(30/10)23:10 Roadworks on Toh Tuck Avenue near Boon Lay Way/Commonwealth Avenue West Junction.,Roadwork
0:14,1.322514969,103.6758392,(30/10)23:09 Roadworks on AYE (towards MCE) after Benoi Rd Exit. Avoid lane 1.,Roadwork
0:14,1.321348666,103.8562371,(30/10)22:13 Roadworks on CTE (towards AYE) at Balestier Rd Exit.,Roadwork
0:14,1.320654918,103.8810195,(30/10)22:09 Roadworks on PIE (towards Changi Airport) after Kallang Way. Avoid lanes 1 and 2.,Roadwork
0:14,1.423299095,103.7568993,(30/10)17:02 Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Mandai Road. Avoid right lane.,Roadwork
0:14,1.42356247,103.7573517,(30/10)17:02 Roadworks on Woodlands Road (towards City) after BKE. Avoid right lane.,Roadwork
0:16,1.298537923,103.8772539,(31/10)0:05 Roadworks on KPE (towards MCE) after ECP Exit. Avoid lane 3.,Roadwork
0:16,1.292985419,103.8753684,(30/10)23:58 Roadworks on MCE (towards AYE) before ECP (City) Entrance.,Roadwork
0:16,1.335194534,103.8930419,(30/10)23:30 Roadworks on KPE (towards TPE) between Upper Paya Lebar Rd Exit and Bartley Rd East Exit. Avoid lane 3.,Roadwork
0:16,1.331877388,103.9659059,(30/10)23:19 Roadworks on Changi South Avenue 2 (towards Changi South Avenue 3) after Changi South Street 2. Avoid left lane.,Roadwork
0:16,1.329018882,103.7577532,(30/10)23:12 Roadworks on Toh Tuck Avenue (towards Old Toh Tuck Road) after Toh Tuck Link. Avoid left lane.,Roadwork
0:16,1.326281253,103.7571101,(30/10)23:10 Roadworks on Toh Tuck Avenue near Boon Lay Way/Commonwealth Avenue West Junction.,Roadwork
0:16,1.322514969,103.6758392,(30/10)23:09 Roadworks on AYE (towards MCE) after Benoi Rd Exit. Avoid lane 1.,Roadwork
0:16,1.321348666,103.8562371,(30/10)22:13 Roadworks on CTE (towards AYE) at Balestier Rd Exit.,Roadwork
0:16,1.320654918,103.8810195,(30/10)22:09 Roadworks on PIE (towards Changi Airport) after Kallang Way. Avoid lanes 1 and 2.,Roadwork
0:16,1.423299095,103.7568993,(30/10)17:02 Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Mandai Road. Avoid right lane.,Roadwork
0:16,1.42356247,103.7573517,(30/10)17:02 Roadworks on Woodlands Road (towards City) after BKE. Avoid right lane.,Roadwork
