05-11-2016,09:30 PM,9.30 pm to 11.30 pm,CL,Western Islands,1.20592600,103.74600000
05-11-2016,09:30 PM,9.30 pm to 11.30 pm,CL,Western Water Catchment,1.40500000,103.68900000
05-11-2016,09:30 PM,9.30 pm to 11.30 pm,CL,Woodlands,1.43200000,103.78652800
05-11-2016,09:30 PM,9.30 pm to 11.30 pm,CL,Yishun,1.41800000,103.83900000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Ang Mo Kio,1.37500000,103.83900000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Bedok,1.32100000,103.92400000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Bishan,1.35077200,103.83900000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Boon Lay,1.30400000,103.70100000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Bukit Batok,1.35300000,103.75400000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Bukit Merah,1.27700000,103.81900000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Bukit Panjang,1.36200000,103.77195000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Bukit Timah,1.32500000,103.79100000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Central Water Catchment,1.38000000,103.80500000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Changi,1.35700000,103.98700000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Choa Chu Kang,1.37700000,103.74500000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Clementi,1.31500000,103.76000000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,City,1.29200000,103.84400000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Geylang,1.31800000,103.88400000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Hougang,1.36121800,103.88600000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Jalan Bahar,1.34700000,103.67000000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Jurong East,1.32600000,103.73700000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Jurong Island,1.26600000,103.69900000
05-11-2016,11:00 PM,11.00 pm to 1.00 am,CL,Jurong West,1.34039000,103.70500000
