Date,Time,MaximumSpeed,RoadName,SpeedBand,MinimumSpeed,Message
11/3/2016,5:23,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:23,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:23,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:29,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:35,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:41,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:41,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:41,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:47,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:53,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:53,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:53,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:59,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:59,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,5:59,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:5,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:11,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:17,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:23,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:29,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:35,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:41,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:41,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:41,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:47,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:47,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:47,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:53,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:53,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:53,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:59,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,6:59,59,PAN ISLAND EXPRESSWAY,3,40,
11/3/2016,6:59,300,PAN ISLAND EXPRESSWAY,4,60,
11/3/2016,7:5,59,PAN ISLAND EXPRESSWAY,3,40,
11/3/2016,7:11,59,PAN ISLAND EXPRESSWAY,3,40,
11/3/2016,7:17,59,PAN ISLAND EXPRESSWAY,3,40,
11/3/2016,7:23,59,PAN ISLAND EXPRESSWAY,3,40,
11/3/2016,7:29,59,PAN ISLAND EXPRESSWAY,3,40,
11/3/2016,7:35,59,PAN ISLAND EXPRESSWAY,3,40,
11/3/2016,7:41,59,PAN ISLAND EXPRESSWAY,3,40,
11/3/2016,7:47,59,PAN ISLAND EXPRESSWAY,3,40,
11/3/2016,7:55,39,PAN ISLAND EXPRESSWAY,2,20,(3/11)7:34 Accident on PIE (towards Changi Airport) at ECP(City) Exit.. Nearest exit to take is ECP. Nearest entrance to take is Bedok North Ave 3
