DateTime,Name,Direction,FarEndPoint,StartPoint,EndPoint,EstTime
17:55,CTE,1,SLE/CTE INTERCHANGE,CLEMENCEAU AVE,MOULMEIN RD,9
18:01,AYE,2,CITY,YUAN CHING RD,JURONG TOWN HALL RD,11
18:01,AYE,2,CITY,JURONG TOWN HALL RD,CLEMENTI AVE 6,5
18:07,AYE,2,CITY,JALAN BOON LAY,YUAN CHING RD,4
18:07,BKE,1,WOODLANDS CENTRE,BKE/PIE INTERCHANGE,DIARY FARM,3
18:13,AYE,1,TUAS CHECKPOINT,NORTH BUONA VISTA RD,CLEMENTI RD,6
18:13,AYE,1,TUAS CHECKPOINT,TUAS WEST RD,TUAS WEST DRIVE,3
18:13,AYE,2,CITY,TUAS WEST RD,AYE/PIE INTERCHANGE,3
18:25,AYE,2,CITY,AYE/PIE INTERCHANGE,BENOI RD,3
18:31,AYE,1,TUAS CHECKPOINT,TUAS WEST DRIVE,TUAS CHECKPOINT,2
18:37,AYE,2,CITY,YUAN CHING RD,JURONG TOWN HALL RD,5
18:49,BKE,1,WOODLANDS CENTRE,WOODLANDS AVE 3,WOODLANDS CENTRE,2
18:55,AYE,2,CITY,CLEMENTI RD,NORTH BUONA VISTA RD,5
19:07,BKE,1,WOODLANDS CENTRE,BKE/SLE INTERCHANGE,WOODLANDS AVE 3,2
19:25,AYE,1,TUAS CHECKPOINT,TUAS WEST RD,TUAS WEST DRIVE,4
19:25,AYE,1,TUAS CHECKPOINT,TUAS WEST DRIVE,TUAS CHECKPOINT,6
19:31,AYE,2,CITY,NORTH BUONA VISTA RD,PORTSDOWN RD,4
19:31,AYE,2,CITY,PORTSDOWN RD,ALEXANDRA RD,4
19:37,BKE,1,WOODLANDS CENTRE,WOODLANDS AVE 3,WOODLANDS CENTRE,3
20:01,AYE,1,TUAS CHECKPOINT,TUAS WEST DRIVE,TUAS CHECKPOINT,4
