DateTime,MaximumSpeed,LinkID,RoadName,SpeedBand,RoadCategory,MinimumSpeed,Location
20:35,59.0,103098943,CHOA CHU KANG AVENUE 3,3,D,40.0,1.3805895432850994 103.74201730473243 1.3800400299576012 103.74120855605975
20:35,59.0,103076063,WOODLANDS ROAD,3,B,40.0,1.399027473240379 103.7553182996927 1.3986609754803143 103.75518194323922
20:35,39.0,103030883,HOUGANG AVENUE 4,2,D,20.0,1.3742439017982357 103.88529975827204 1.3738695600842703 103.8852253844054
20:35,59.0,104003992,CLEMENTI AVENUE 6,3,F,40.0,1.3163287378822295 103.76133268167833 1.3152605534502255 103.76088573773033
20:35,,103110036,HARVEY ROAD,4,E,60.0,1.333534171783063 103.88445104036495 1.334480240662004 103.88423757172991
20:35,59.0,103089006,PIONEER ROAD NORTH,3,B,40.0,1.3468683821422813 103.69025703809406 1.3466193981361332 103.6903389382926
20:35,39.0,103102707,TEBAN GARDENS ROAD,2,D,20.0,1.3221397264324177 103.74067367269409 1.3224151277960807 103.73936107597333
20:35,,103066446,SELETAR EXPRESSWAY,4,A,60.0,1.3933641470952896 103.83017614834209 1.3930461788606892 103.82850046052181
20:35,39.0,104006262,JALAN TIONG,2,B,20.0,1.2885446575569008 103.81522708590182 1.2894487475306688 103.81601120052828
20:35,39.0,103023263,MIMOSA ROAD,2,E,20.0,1.3846516285071027 103.86130024952197 1.3847021513504938 103.86163326231437
20:35,59.0,103106791,JURONG WEST STREET 51,3,C,40.0,1.3469175675090634 103.72108428937013 1.347671822206832 103.72065434759489
20:35,39.0,103037283,LI HWAN DRIVE,2,E,20.0,1.354538472093295 103.86279521974849 1.3554224742291467 103.863192917283
20:35,19.0,103079659,BENOI ROAD,1,B,0.0,1.3218406112967973 103.67908937587285 1.3224708533860603 103.67911675172884
20:35,,103053551,PENJURU CLOSE,0,E,,1.312473778966346 103.73316481781487 1.3127432138862785 103.73199916551488
20:35,39.0,103070015,ELIAS ROAD,2,D,20.0,1.3777681206363968 103.94139850987841 1.378867186631845 103.94152708219333
20:35,39.0,103046419,TUDOR CLOSE,2,E,20.0,1.3272983831607585 103.81902739813964 1.3269356969952486 103.81906247979533
20:35,39.0,103100830,JURONG WEST STREET 91,2,D,20.0,1.3430596047385601 103.69250778755682 1.3422347747467551 103.69145681907827
20:35,39.0,104007318,BISHAN STREET 12,2,D,20.0,1.3479668056040577 103.84987239628619 1.347285087627832 103.84973081425973
20:35,,103091431,JOO CHIAT AVENUE,4,E,60.0,1.3160979329649067 103.91252210842339 1.3157664228530506 103.91101277695655
20:35,59.0,103046935,SERANGOON ROAD,3,B,40.0,1.3220591510051254 103.86246461405193 1.3215993547809128 103.86315591911669
20:35,59.0,103104914,TAMPINES ROAD,3,B,40.0,1.3776182033611846 103.91396137870652 1.3784841278685094 103.91458882722249
20:35,39.0,103031346,MANDAI ROAD,2,B,20.0,1.4026080634287352 103.81525433456433 1.402689645719599 103.81640482532244
20:35,,103026994,NIM ROAD,4,E,60.0,1.3806647169807298 103.86241340163942 1.3815437998182825 103.86275797975088
20:35,39.0,103067603,COMMONWEALTH AVENUE WEST,2,B,20.0,1.3155700538658663 103.76502558167256 1.3146394741932022 103.76542384414495
20:35,39.0,103031267,PONGGOL SEVENTEENTH AVENUE,2,E,20.0,1.415975121825413 103.90579256200513 1.4155838094053605 103.90532727949302
20:35,19.0,103028396,T2 BASEMENT DRIVE,1,E,0.0,1.354555356422381 103.98908738997977 1.3535347292627729 103.98854931143833
20:35,39.0,103106763,SHUNFU ROAD,2,D,20.0,1.352414677139681 103.83714126749518 1.3515001003201181 103.83831024337069
20:35,39.0,103011039,MEYER ROAD,2,C,20.0,1.2979413745180766 103.8858495015343 1.2993701686587462 103.88595357348129
20:35,39.0,103080426,YIO CHU KANG ROAD,2,B,20.0,1.3789273339780308 103.8766121640118 1.378711751253142 103.8766364665296
20:35,39.0,103012016,HOLT ROAD,2,E,20.0,1.2934310999334304 103.82484733439362 1.2942176200903235 103.82582486565752
20:35,59.0,103057175,LENTOR AVENUE,3,B,40.0,1.3926676149662798 103.83644380027843 1.392788736696967 103.836253059076
20:35,,103103595,AYER RAJAH EXPRESSWAY,4,A,60.0,1.300565991283341 103.77776131278489 1.2996764969597445 103.77910681274477
20:35,39.0,103060887,LORONG CHENCHARU,2,E,20.0,1.415477529721408 103.82619703778077 1.4160947264320878 103.82485779848956
20:35,,103113002,ROBEY CRESCENT,4,E,60.0,1.3681399431741093 103.88229413669929 1.3671462206132938 103.8822154648141
20:35,39.0,104006030,CHAMPIONS WAY,2,D,20.0,1.42701067079461 103.78942754317147 1.427377339644944 103.79057571213559
20:35,59.0,103095079,JALAN PERGAM,3,E,40.0,1.3429777888159506 103.96104006277909 1.3444529517840251 103.96148851121612
