Time,Name,Direction,FarEndPoint,StartPoint,EndPoint,EstTime
00:04,AYE,1,TUAS CHECKPOINT,AYE/MCE INTERCHANGE,TELOK BLANGAH RD,2
00:04,AYE,1,TUAS CHECKPOINT,TELOK BLANGAH RD,LOWER DELTA RD,1
00:04,AYE,1,TUAS CHECKPOINT,LOWER DELTA RD,NORMANTON PARK,3
00:04,AYE,1,TUAS CHECKPOINT,NORMANTON PARK,NORTH BUONA VISTA RD,1
00:04,AYE,1,TUAS CHECKPOINT,NORTH BUONA VISTA RD,CLEMENTI RD,2
00:04,AYE,1,TUAS CHECKPOINT,CLEMENTI RD,WEST COAST RD,1
00:04,AYE,1,TUAS CHECKPOINT,WEST COAST RD,CLEMENTI AVE 6,1
00:04,AYE,1,TUAS CHECKPOINT,CLEMENTI AVE 6,JURONG TOWN HALL RD,2
00:04,AYE,1,TUAS CHECKPOINT,JURONG TOWN HALL RD,PENJURU RD,1
00:04,AYE,1,TUAS CHECKPOINT,PENJURU RD,JURONG PORT RD,1
00:04,AYE,1,TUAS CHECKPOINT,JURONG PORT RD,JURONG PIER RD,1
00:04,AYE,1,TUAS CHECKPOINT,JURONG PIER RD,PIONEER CIRCUS,2
00:04,AYE,1,TUAS CHECKPOINT,PIONEER CIRCUS,BENOI RD,2
00:04,AYE,1,TUAS CHECKPOINT,BENOI RD,AYE/PIE INTERCHANGE,2
00:04,AYE,1,TUAS CHECKPOINT,AYE/PIE INTERCHANGE,TUAS WEST RD,2
00:04,AYE,1,TUAS CHECKPOINT,TUAS WEST RD,TUAS WEST DRIVE,2
00:04,AYE,1,TUAS CHECKPOINT,TUAS WEST DRIVE,TUAS CHECKPOINT,1
00:04,AYE,2,CITY,TUAS CHECKPOINT,TUAS WEST RD,1
00:04,AYE,2,CITY,TUAS WEST RD,AYE/PIE INTERCHANGE,2
00:04,AYE,2,CITY,AYE/PIE INTERCHANGE,BENOI RD,2
00:04,AYE,2,CITY,BENOI RD,PIONEER CIRCUS,2
00:04,AYE,2,CITY,PIONEER CIRCUS,JALAN BOON LAY,1
00:04,AYE,2,CITY,JALAN BOON LAY,YUAN CHING RD,2
00:04,AYE,2,CITY,YUAN CHING RD,JURONG TOWN HALL RD,3
00:04,AYE,2,CITY,JURONG TOWN HALL RD,CLEMENTI AVE 6,2
00:04,AYE,2,CITY,CLEMENTI AVE 6,CLEMENTI AVE 2,1
00:04,AYE,2,CITY,CLEMENTI AVE 2,CLEMENTI RD,1
00:04,AYE,2,CITY,CLEMENTI RD,NORTH BUONA VISTA RD,2
00:04,AYE,2,CITY,NORTH BUONA VISTA RD,PORTSDOWN RD,1
00:04,AYE,2,CITY,PORTSDOWN RD,ALEXANDRA RD,1
00:04,AYE,2,CITY,ALEXANDRA RD,LOWER DELTA RD,3
00:04,AYE,2,CITY,LOWER DELTA RD,KEPPEL RD,1
00:04,AYE,2,CITY,KEPPEL RD,AYE/MCE INTERCHANGE,2
00:04,BKE,1,WOODLANDS CENTRE,BKE/PIE INTERCHANGE,DIARY FARM,2
00:04,BKE,1,WOODLANDS CENTRE,DIARY FARM,BUKIT PANJANG RD,1
00:04,BKE,1,WOODLANDS CENTRE,BUKIT PANJANG RD,BKE/KJE INTERCHANGE,2
00:04,BKE,1,WOODLANDS CENTRE,BKE/KJE INTERCHANGE,MANDAI RD,2
00:04,BKE,1,WOODLANDS CENTRE,MANDAI RD,BKE/SLE INTERCHANGE,1
00:04,BKE,1,WOODLANDS CENTRE,BKE/SLE INTERCHANGE,WOODLANDS AVE 3,1
00:04,BKE,1,WOODLANDS CENTRE,WOODLANDS AVE 3,WOODLANDS CENTRE,1
00:04,BKE,2,PIE,WOODLANDS CENTRE,BKE/SLE INTERCHANGE,2
00:04,BKE,2,PIE,BKE/SLE INTERCHANGE,MANDAI RD,1
00:04,BKE,2,PIE,MANDAI RD,BKE/KJE INTERCHANGE,2
00:04,BKE,2,PIE,BKE/KJE INTERCHANGE,BUKIT PANJANG RD,2
00:04,BKE,2,PIE,BUKIT PANJANG RD,DIARY FARM ROAD,1
00:04,BKE,2,PIE,DIARY FARM ROAD,BKE/PIE INTERCHANGE,3
00:04,CTE,1,SLE/CTE INTERCHANGE,AYE/CTE INTERCHANGE,OUTRAM RD,1
00:04,CTE,1,SLE/CTE INTERCHANGE,OUTRAM RD,CLEMENCEAU AVE,1
00:04,CTE,1,SLE/CTE INTERCHANGE,CLEMENCEAU AVE,MOULMEIN RD,4
00:04,CTE,1,SLE/CTE INTERCHANGE,MOULMEIN RD,JALAN BAHAGIA,1
00:10,AYE,2,CITY,YUAN CHING RD,JURONG TOWN HALL RD,2
00:16,AYE,1,TUAS CHECKPOINT,PENJURU RD,JURONG PORT RD,2
00:22,AYE,2,CITY,PIONEER CIRCUS,JALAN BOON LAY,2
00:28,BKE,2,PIE,WOODLANDS CENTRE,BKE/SLE INTERCHANGE,1
00:58,BKE,2,PIE,DIARY FARM ROAD,BKE/PIE INTERCHANGE,2
01:22,AYE,1,TUAS CHECKPOINT,AYE/PIE INTERCHANGE,TUAS WEST RD,1
01:22,BKE,2,PIE,BKE/SLE INTERCHANGE,MANDAI RD,2
01:58,BKE,1,WOODLANDS CENTRE,BUKIT PANJANG RD,BKE/KJE INTERCHANGE,1
04:05,CTE,1,SLE/CTE INTERCHANGE,CLEMENCEAU AVE,MOULMEIN RD,3
05:47,AYE,2,CITY,KEPPEL RD,AYE/MCE INTERCHANGE,3
06:23,BKE,1,WOODLANDS CENTRE,BKE/KJE INTERCHANGE,MANDAI RD,3
06:23,BKE,1,WOODLANDS CENTRE,MANDAI RD,BKE/SLE INTERCHANGE,2
06:23,BKE,1,WOODLANDS CENTRE,BKE/SLE INTERCHANGE,WOODLANDS AVE 3,2
06:23,BKE,2,PIE,BKE/KJE INTERCHANGE,BUKIT PANJANG RD,3
06:47,AYE,1,TUAS CHECKPOINT,LOWER DELTA RD,NORMANTON PARK,4
06:53,BKE,2,PIE,MANDAI RD,BKE/KJE INTERCHANGE,3
06:59,AYE,2,CITY,CLEMENTI RD,NORTH BUONA VISTA RD,3
06:59,BKE,2,PIE,DIARY FARM ROAD,BKE/PIE INTERCHANGE,4
07:11,AYE,1,TUAS CHECKPOINT,NORMANTON PARK,NORTH BUONA VISTA RD,2
07:11,AYE,1,TUAS CHECKPOINT,WEST COAST RD,CLEMENTI AVE 6,2
07:11,AYE,2,CITY,CLEMENTI RD,NORTH BUONA VISTA RD,4
07:11,AYE,2,CITY,NORTH BUONA VISTA RD,PORTSDOWN RD,4
07:11,BKE,2,PIE,DIARY FARM ROAD,BKE/PIE INTERCHANGE,5
07:17,AYE,1,TUAS CHECKPOINT,LOWER DELTA RD,NORMANTON PARK,5
07:17,AYE,1,TUAS CHECKPOINT,CLEMENTI AVE 6,JURONG TOWN HALL RD,3
07:17,AYE,1,TUAS CHECKPOINT,JURONG PORT RD,JURONG PIER RD,2
07:17,AYE,2,CITY,CLEMENTI RD,NORTH BUONA VISTA RD,11
07:17,AYE,2,CITY,NORTH BUONA VISTA RD,PORTSDOWN RD,3
07:17,BKE,2,PIE,BKE/SLE INTERCHANGE,MANDAI RD,3
07:17,BKE,2,PIE,MANDAI RD,BKE/KJE INTERCHANGE,4
07:17,BKE,2,PIE,BUKIT PANJANG RD,DIARY FARM ROAD,2
07:23,AYE,1,TUAS CHECKPOINT,TELOK BLANGAH RD,LOWER DELTA RD,2
07:23,AYE,1,TUAS CHECKPOINT,CLEMENTI RD,WEST COAST RD,2
07:23,AYE,1,TUAS CHECKPOINT,JURONG TOWN HALL RD,PENJURU RD,2
07:23,AYE,2,CITY,CLEMENTI AVE 2,CLEMENTI RD,2
07:23,AYE,2,CITY,CLEMENTI RD,NORTH BUONA VISTA RD,10
07:23,AYE,2,CITY,NORTH BUONA VISTA RD,PORTSDOWN RD,2
07:29,AYE,1,TUAS CHECKPOINT,LOWER DELTA RD,NORMANTON PARK,6
07:29,AYE,1,TUAS CHECKPOINT,PENJURU RD,JURONG PORT RD,3
07:29,AYE,2,CITY,CLEMENTI AVE 6,CLEMENTI AVE 2,2
07:29,AYE,2,CITY,CLEMENTI AVE 2,CLEMENTI RD,3
07:29,AYE,2,CITY,CLEMENTI RD,NORTH BUONA VISTA RD,6
07:35,AYE,1,TUAS CHECKPOINT,LOWER DELTA RD,NORMANTON PARK,7
07:35,AYE,1,TUAS CHECKPOINT,CLEMENTI AVE 6,JURONG TOWN HALL RD,4
07:35,AYE,2,CITY,JURONG TOWN HALL RD,CLEMENTI AVE 6,3
07:35,AYE,2,CITY,CLEMENTI AVE 6,CLEMENTI AVE 2,4
07:35,BKE,2,PIE,BUKIT PANJANG RD,DIARY FARM ROAD,3
07:35,BKE,2,PIE,DIARY FARM ROAD,BKE/PIE INTERCHANGE,6
