2016-11-02 Time,Latitude,Longitude,Message,Type
2016-11-02 00:01,1.3043123400463337,103.83095252644924,(1/11)20:53 Roadworks on Paterson Road (towards Scotts Road) after Orchard Boulevard.,Roadwork
2016-11-02 00:01,1.4237739242513463,103.75805245065732,(1/11)20:53 Roadworks on Woodlands Road (towards City) after BKE. Avoid right lane.,Roadwork
2016-11-02 00:01,1.4246106479571454,103.76050549448833,(1/11)20:47 Roadworks on Woodlands Road (towards City) after BKE. Avoid left lane.,Roadwork
2016-11-02 00:01,1.423395323973594,103.75702770201045,(1/11)20:41 Roadworks on Woodlands Road (towards Woodlands Checkpoint) after Mandai Road. Avoid right lane.,Roadwork
2016-11-02 00:01,1.2984507867634674,103.8541010137354,(1/11)20:34 Roadworks on Middle Road near Middle Road/Victoria Street Junction.,Roadwork
2016-11-02 00:01,1.328892730293657,103.75769330828123,(1/11)20:29 Roadworks on Toh Tuck Avenue (towards Old Toh Tuck Road) after Toh Tuck Link.,Roadwork
2016-11-02 00:01,1.4101649503586144,103.76981554663848,(1/11)16:44 Roadworks on Mandai Road (towards BKE) after Mandai Road Track 16.,Roadwork
2016-11-02 00:03,1.289499155898116,103.84793649853269,(1/11)23:15 Roadworks on New Bridge Road (towards Upper Circular Road) after Hill Street.,Roadwork
2016-11-02 00:05,1.2891784130961867,103.84226778906523,(2/11)0:01 Roadworks in CTE Tunnel (towards AYE) at Merchant Road Entrance. Merchant Road Entrance closed.,Roadwork
2016-11-02 00:07,1.368291293465504,103.71512600472076,(2/11)0:04 Accident on KJE (towards PIE) before PIE(Changi) Exit. Avoid lane 3.,Accident
2016-11-02 00:22,1.3013988214197756,103.84287919323477,(2/11)0:19 Roadworks in CTE Tunnel (towards SLE) before Kramat Rd Entrance. Avoid lane 3.,Roadwork
2016-11-02 00:22,1.368291293465504,103.71512600472076,(1/11)23:58 Accident on KJE (towards PIE) before PIE(Changi) Exit. Avoid lanes 1 and 3.,Accident
2016-11-02 00:26,1.3120811603704927,103.84484661621435,(1/11)23:53 Roadworks in CTE Tunnel (towards AYE) after Bukit Timah Rd Exit. Avoid lane 4.,Roadwork
2016-11-02 00:34,1.3100080172674369,103.84383815672277,(2/11)0:30 Roadworks in CTE Tunnel (towards SLE) before Bukit Timah Rd Entrance. Avoid lane 4.,Roadwork
2016-11-02 00:44,1.2868725619596126,103.83960324038185,(2/11)0:40 Roadworks in CTE Tunnel (towards SLE) after Outram Rd Exit. Avoid lanes 2 and 3.,Roadwork
2016-11-02 00:46,1.3393947437321136,103.7781965662852,(1/11)22:25 Roadworks on PIE (towards Changi Airport) after Bukit Timah Rd exit. Avoid lanes 2 and 3.,Roadwork
2016-11-02 00:48,1.3327559788091108,103.91973857033432,(2/11)0:45 Roadworks on PIE (towards Changi Airport) at Bedok North Rd Exit.,Roadwork
2016-11-02 00:48,1.368291293465504,103.71512600472076,(1/11)23:58 Accident on KJE (towards PIE) before PIE(Changi) Exit. Avoid lane 3.,Accident
2016-11-02 00:50,1.3074503854393824,103.84074947841104,(2/11)0:46 Roadworks in CTE Tunnel (towards SLE) at Cairnhill Circle Entrance. Cairnhill Circle Entrance closed.,Roadwork
